Celebrity,India,Quora,Life,Love,Money,Job,Feelings,Donald_Trump,Progr_languages,Business,Android,Engineering,Indian,Girl,Sex,Why_dont,Buying,English,Facebook,.com,Computer_science,Age_related,Books,Google,study,Phone,Movie,College,Lose_weight,Math,Softwares,i_phone,possibilities,Highschool,Youtube
Vladimir Putin,0.0014523163068171053,0.00011969507992631226,0.000446269385791644,0.0001830487164302029,0.0003054219850731771,0.00030976911845518224,0.00023271679959429214,0.024953618894268288,0.00035223460073289956,0.0024541800751880366,0.0,0.0014478928492551832,0.0024144060034156445,0.0003532692595430738,0.00042772412601616564,0.0005099607382484717,0.0009664272912192188,0.0008179593875702068,5.142403046985299e-05,0.0,0.0010815486069758596,0.000336192008981752,0.000533766037732176,0.00018344941572044976,0.001253098121553078,0.003332217369044497,0.0005838754981675576,0.0008153198036375967,0.000569794263549543,0.0003550593187403569,0.00039133541093349067,0.0017516838474676065,0.0017617759074867768,0.00899482163144136,0.004036306116981933
Donald Trump,0.0009766303823321874,0.00018902394071542724,0.0013376944130691851,0.00014955416428040586,0.0006127679115901845,0.00043183342252741796,0.00026991801486975355,0.09487986886286294,0.0005800851573480441,0.007229415807445516,0.0005316372671029405,0.0005071164980271438,0.002149787526276503,0.00017396795956891383,8.330700630993265e-05,0.0004314381536659157,0.0007807234680806744,2.3540311755835995e-05,0.0003198931470414499,0.0002338410620248846,0.0016695353097833307,0.0003310058378787429,0.00022324842457969543,3.616391308637994e-05,0.0006927158853649557,0.00016301737849801272,0.0016275230968094353,0.00024464739913727365,2.661199684683075e-05,0.0004751252093520168,0.0005986526998456658,0.005678158562753291,0.0018372060607156583,0.008131045778308029,0.004213013923368642
Angela Merkel,0.0012207761379340546,0.00016134381872166549,0.00043431031638289133,0.00016482646448389264,0.0004429056175158681,0.0009041227332802934,0.0005148335501005786,0.005773229894582331,0.00048727523224738816,0.001439067272847332,0.0005128474365881234,0.0014980913873692736,0.003393459430905296,0.0005341412547927458,0.0005116014175949463,0.0008666969208898077,0.00026701216562928206,0.0009415882148385239,0.0005085142408987629,1.2148657856579914e-06,0.0013822903121611032,0.0009538529439832131,0.0005654956513869057,0.00024407356872952632,0.0012683967558449563,0.0008407598451024883,0.0004181631976683584,0.0004279340952615979,0.0003698482446131057,0.0002152998468366488,0.0007081649144860463,0.002414448066838641,0.002010538548441357,0.0010875777068553969,0.0029828259723199244
Xi Jinping,0.002263995068729122,0.00022368757249962253,0.00037985917888826826,0.0001794982182313516,0.0006103287104106532,0.0005325837061704168,0.00032738724756834804,0.0049974805252144365,0.0003773806087828674,0.001282797055849207,0.0002981539326900689,0.000941723943424289,0.002176948799357019,0.00039967900601181177,0.00026186485706354584,0.0005613088490651887,0.0006778835199405186,0.0022308604388923594,0.0007886488547673913,7.56665847957618e-05,0.0005023139984498205,0.0004078816153833392,0.0006247305652318604,0.0007954133533978624,0.0004550700535817625,0.0007053403632270622,0.0004857341164111496,0.0003508602399838363,0.003617896521595949,0.00030328703913978995,0.0002003565726609412,0.0016038672212160634,0.0008603952216659249,0.0013067521359931846,0.0033778591748523617
Pope Francis,0.00047722982492327717,0.00011208304441220634,0.008287127468280576,0.0002459842850160056,0.00012032186023259458,0.00015333749499894502,0.0002426099361661642,0.001571044634165347,0.00023430019308220949,0.00037208842278239033,0.0006289085952881418,0.0005944172476370567,0.0006606181092046755,0.0005924193798627635,0.0010800170680442202,0.0007874487264655331,0.0002964937395684755,0.0005017456824090889,0.0004757173369914125,1.3710010267139641e-05,0.0003392725933749193,0.00026461632220926894,0.0003104644172866288,0.00026334377369229277,0.0002837425330771372,0.0005309211386339944,0.000400714968478854,0.0001314632115757153,0.00026973027697255875,0.0001744933162467347,0.00018538906172211903,0.002056975150330659,0.00040755024098347847,0.0009504980082187681,0.0021282439244428917
Janet Yellen,0.0004695680029977891,0.0,0.0001084636380876276,0.0001397345301776932,0.0008617880582275257,0.0010856488736756638,0.00034231960645359817,0.013711987943703097,0.0,0.024620101427908634,0.0,0.0002457651652003674,0.0011687507361286497,0.00012417882147585383,0.0009082281136914574,0.00018750016671495936,0.0005788519266546056,0.00023296899000044532,0.00031698074670253635,0.0,0.0004123322565910352,0.0006273122909008364,8.219839551295737e-05,0.0,0.0007338850471450194,0.0005660686736754841,0.00014300796260928114,0.0,0.00014820974785761219,2.5026821222404255e-05,0.0,1.756206864342933e-05,0.001070224038244447,0.014438105452632096,0.0021720905173455386
Bill Gates,0.0004032260464444233,0.00030864108622463893,0.00044072175361530854,6.403817237197798e-05,0.011896507570493415,0.0007652809744980213,0.00011484478865980944,0.0011011485704125242,0.00014863074438196063,0.014781016153145256,0.0,0.00039419772835212795,0.00045643431673442783,0.0,0.00023748228190146134,0.000273409666578018,0.0006932139796700971,0.003595902680457667,0.001040692218069511,0.013070645038918006,0.009666362993886648,0.00036361493191855275,0.00033836531381624705,0.0031731962241726623,0.00024443795425476366,0.004611189915900824,0.0,7.988125696922157e-05,0.00019950775616566743,0.0008962728451947414,0.0004304675222895671,0.03472099536153403,0.0006255022203474437,0.000771367207769556,0.0007366217547397228
Larry Page,0.0,0.0,7.132375647683133e-05,0.0,0.0,0.0,5.4743825518359096e-05,0.0002526616886453758,0.0,0.00044526954930515137,0.0,0.0,0.0002987671751608107,0.0,0.0,0.0,0.0,0.00033496392894074065,0.004801923758984205,0.00011653049562091392,0.011972377311058083,0.0,6.593991682046093e-05,0.10321071929970772,0.0,0.0,0.0,0.0,0.0,0.0,0.00016372979065680285,0.005626512117953292,0.0003118447261770548,1.581459802395362e-05,0.0
Narendra Modi,0.015003483423473914,0.0004440863489900282,0.0006266287541416765,0.00016990708851569582,0.0009008143965625464,0.00017742234393543688,0.00044553741814952225,0.0024447820158619723,0.0,0.002742704491948104,0.0,0.00632240428379554,0.018969509844190133,0.0008223324116661874,0.0006239046746292579,0.0007200024162475289,0.0006142507197367842,0.004758049745976966,0.0007548151954769259,0.00011730918414151022,0.0004550535147504415,0.0007987826765371804,0.0005159290577420063,0.00021837316080637538,0.0005544632019149077,0.0031058476224530367,0.00018181567010758123,0.0005923312142232845,0.00037908822438710094,3.0752736429382034e-05,0.0011037937478237628,0.0012365416602855878,0.0009515105977983897,0.00987381170905288,0.0020972343493800448
Mark Zuckerberg,0.00020697257404596342,0.0,0.00012712096323739904,0.0,0.0,0.0005336030719822694,0.0,0.0001391611113431073,0.00016288784254195367,0.0002702148486658281,0.0007566141339486389,0.0,0.0003105345185371615,0.0,0.0,0.0,0.0,3.645335069568652e-05,0.06413875243278672,4.6555887974354756e-05,0.012803416264949245,0.0,0.0,0.0,2.9705416453970207e-05,0.0,6.758787524712467e-05,0.0,0.0,0.0,0.0,0.008057738083112683,0.03287835590777474,0.0007478970535078097,0.0
