Celebrity,Affiliation,Age
Vladimir Putin,Russia,65
Donald Trump,United States,71
Angela Merkel,Germany,63
Xi Jinping,China,64
Pope Francis,Roman Catholic Church,81
Janet Yellen,United States,71
Bill Gates,Bill & Melinda Gates Foundation,62
Larry Page,Google,44
Narendra Modi,India,67
Mark Zuckerberg,Facebook,33
Mario Draghi,European Central Bank,70
Li Keqiang,China,62
Theresa May,United Kingdom,61
Jeff Bezos,Amazon.com,54
Warren Buffett,Berkshire Hathaway,87
Salman bin Abdulaziz Al Saud,Saudi Arabia,82
Carlos Slim Helu,América Móvil,78
Ali Hoseini-Khamenei,Iran,78
Jamie Dimon,Chase,61
Benjamin Netanyahu,Israel,68
Elon Musk,Tesla,46
Jeffrey Immelt,General Electric,61
Francois Hollande,France,63
Rex Tillerson,ExxonMobil,65
Christine Lagarde,International Monetary Fund,62
Lloyd Blankfein,Goldman Sachs Group,63
Doug McMillon,Wal-Mart Stores,52
Jack Ma,Alibaba Group,53
Akio Toyoda,Toyota Motor,61
Sergey Brin,Google,44
Charles Koch,Koch Industries,82
Tim Cook,Apple,57
Li Ka-shing,CK Hutchison Holdings,89
Larry Fink,BlackRock,65
Rupert Murdoch,News Corp,86
Antonio Guterres,United Nations,68
Shinzo Abe,Japan,63
Mukesh Ambani,Reliance Industries,60
Khalifa bin Zayed Al-Nahyan,United Arab Emirates,70
Jay Y. Lee,Samsung Electronics,49
Ding Xuedong,China,58
Jim Yong Kim,World Bank,58
Kim Jong-un,North Korea,35
Abdel el-Sisi,Egypt,63
Ma Huateng,Tencent Holdings,46
Michael Dell,Dell,52
Haruhiko Kuroda,Japan,73
Barack Obama,United States,56
Khalid Al-Falih,Saudi Arabia,58
John Roberts,United States,63
Satya Nadella,Microsoft,51
Stephen Schwarzman,Blackstone Group,70
Masayoshi Son,Softbank,60
Enrique Pena Nieto,Mexico,51
Michael Bloomberg,Bloomberg,75
Recep Erdogan,Turkey,63
Abu Bakr al-Baghdadi,Islamic State,47
Alisher Usmanov,Metalloinvest,64
Wang Jianlin,Dalian Wanda Group,63
Robin Li,Baidu,49
Ginni Rometty,IBM,60
Mary Barra,General Motors,56
Bashar al-Assad,Syria,52
Travis Kalanick,Uber Technologies Inc.,41
Carl Icahn,Icahn Capital Management,81
Justin Trudeau,Canada,46
Bob Iger,Walt Disney,66
Aliko Dangote,Dangote Group,60
Mike Pence,United States,58
Rodrigo Duterte,Philippines,72
Ayman al-Zawahiri,Al-Qaeda,66
Sheldon Adelson,Las Vegas Sands,84
Peter Thiel,Founders Fund,50
Chuck Schumer,United States,67
